"area","class","title","kind","fetch_status","bytes","sha256","local_file","official_url","error","retrieved_at"
"01_UI_and_Accessibility\01_Open_Standards","FULL","WCAG 2.2","HTML","OK","512457","6e3c5fe397257cae509a2fb4752b73062cf8cbeb92c2cec618989b17e4cf7057","01_UI_and_Accessibility\01_Open_Standards\W3C_WCAG_2.2.html","https://www.w3.org/TR/WCAG22/","","2026-08-11T19:44:15+08:00"
"01_UI_and_Accessibility\01_Open_Standards","FULL","WAI-ARIA 1.2","HTML","OK","1410696","c0fea16fc747779569ab754d2d25bca3e2b7e8a673b8ef5362aeb9ebc73a4849","01_UI_and_Accessibility\01_Open_Standards\W3C_WAI-ARIA_1.2.html","https://www.w3.org/TR/wai-aria-1.2/","","2026-08-11T19:44:15+08:00"
"01_UI_and_Accessibility\01_Open_Standards","FULL","ARIA Authoring Practices Guide","HTML","OK","39382","dda039aa90f25338fbacd39b890fa5a641993d3541f11ab84223fa8751c9ca93","01_UI_and_Accessibility\01_Open_Standards\W3C_ARIA_APG.html","https://www.w3.org/WAI/ARIA/apg/","","2026-08-11T19:44:16+08:00"
"01_UI_and_Accessibility\02_ISO_Indexes","INDEX_ONLY","ISO 9241-210:2019 Human-centred design","HTML","FAILED","0","","","https://www.iso.org/standard/77520.html","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:16+08:00"
"01_UI_and_Accessibility\02_ISO_Indexes","INDEX_ONLY","ISO 9241-110:2020 Interaction principles","HTML","FAILED","0","","","https://www.iso.org/standard/75258.html","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:17+08:00"
"01_UI_and_Accessibility\02_ISO_Indexes","INDEX_ONLY","ISO 9241-112:2025 Presentation of information","HTML","FAILED","0","","","https://www.iso.org/standard/87518.html","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:18+08:00"
"01_UI_and_Accessibility\02_ISO_Indexes","INDEX_ONLY","ISO 9241-115:2024 UI and navigation design","HTML","FAILED","0","","","https://www.iso.org/standard/80773.html","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:18+08:00"
"01_UI_and_Accessibility\03_Official_Design_Systems","SNAPSHOT","Material Design 3","HTML","OK","62132","d8370c1f1104d37a63a878d308c7cb3489d2d5459bfde98850652ef13656e0df","01_UI_and_Accessibility\03_Official_Design_Systems\Material_Design_3.html","https://m3.material.io/","","2026-08-11T19:44:19+08:00"
"01_UI_and_Accessibility\03_Official_Design_Systems","SNAPSHOT","Apple Human Interface Guidelines","HTML","OK","17073","fac1f5ae7a23dd59b55bca4eda526fb668fe9d92b8366e56ccbb51675342f5fa","01_UI_and_Accessibility\03_Official_Design_Systems\Apple_HIG.html","https://developer.apple.com/design/human-interface-guidelines/","","2026-08-11T19:44:20+08:00"
"01_UI_and_Accessibility\03_Official_Design_Systems","SNAPSHOT","Fluent 2 Design Principles","HTML","OK","90594","db124c75ef1f3fdbfac1a56af6d3df57808f0e7d62a5bc9b21b60a94fa089db4","01_UI_and_Accessibility\03_Official_Design_Systems\Fluent_2_Design_Principles.html","https://fluent2.microsoft.design/design-principles","","2026-08-11T19:44:22+08:00"
"01_UI_and_Accessibility\03_Official_Design_Systems","SNAPSHOT","Carbon Design System Patterns","HTML","OK","2821270","e446369554a5468e197d3dbe7b106ef3b7c39dec6a6f8debfd718d4475968f64","01_UI_and_Accessibility\03_Official_Design_Systems\Carbon_Patterns.html","https://carbondesignsystem.com/patterns/overview/","","2026-08-11T19:44:23+08:00"
"01_UI_and_Accessibility\03_Official_Design_Systems","SNAPSHOT","GOV.UK Design System Components","HTML","OK","58801","e0d10ce10b423d49c339a71080f15110cabdc52223f09fa93122cf25a6798089","01_UI_and_Accessibility\03_Official_Design_Systems\GOVUK_Components.html","https://design-system.service.gov.uk/components/","","2026-08-11T19:44:24+08:00"
"01_UI_and_Accessibility\03_Official_Design_Systems","SNAPSHOT","GOV.UK Accessibility Strategy","HTML","OK","83987","c140f4324ef43205500978c62aa3c7a22d6e422e7b5ff47a5e36cddf8c7092f1","01_UI_and_Accessibility\03_Official_Design_Systems\GOVUK_Accessibility_Strategy.html","https://design-system.service.gov.uk/accessibility/accessibility-strategy/","","2026-08-11T19:44:25+08:00"
"01_UI_and_Accessibility\03_Official_Design_Systems","SNAPSHOT","U.S. Web Design System Accessibility","HTML","OK","63622","e12bf936320f6d6df832e80eacbd635773b6f050c0166ee6273803929dc5f3a1","01_UI_and_Accessibility\03_Official_Design_Systems\USWDS_Accessibility.html","https://designsystem.digital.gov/documentation/accessibility/","","2026-08-11T19:44:27+08:00"
"01_UI_and_Accessibility\03_Official_Design_Systems","SNAPSHOT","Ant Design Specification","HTML","OK","228793","bbd552eba0c087f46fcc9a138c2e6566213db00e8cad0ddc6d283943953db08d","01_UI_and_Accessibility\03_Official_Design_Systems\Ant_Design_Specification.html","https://ant.design/docs/spec/introduce/","","2026-08-11T19:44:28+08:00"
"01_UI_and_Accessibility\04_Book_Indexes","INDEX_ONLY","Designing Interfaces, 3rd Edition","HTML","FAILED","0","","","https://www.oreilly.com/library/view/designing-interfaces-3rd/9781492051954/","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:29+08:00"
"02_Software_Architecture_and_Patterns\01_Standards_and_Security","INDEX_ONLY","ISO IEC IEEE 42010:2022 Architecture description","HTML","FAILED","0","","","https://www.iso.org/standard/74393.html","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:29+08:00"
"02_Software_Architecture_and_Patterns\01_Standards_and_Security","INDEX_ONLY","ISO IEC 25010:2023 Product quality model","HTML","FAILED","0","","","https://www.iso.org/standard/78176.html","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:30+08:00"
"02_Software_Architecture_and_Patterns\01_Standards_and_Security","SNAPSHOT","OWASP Secure by Design Framework","HTML","OK","104556","2ab63cf5397230543acd19e1ef1e073bbe24d730f17ab7779ce776fe36c875b0","02_Software_Architecture_and_Patterns\01_Standards_and_Security\OWASP_Secure_by_Design.html","https://owasp.org/www-project-secure-by-design-framework/","","2026-08-11T19:44:31+08:00"
"02_Software_Architecture_and_Patterns\02_Open_Pattern_Catalogs","OPEN_CATALOG","Patterns of Enterprise Application Architecture catalog","HTML","OK","36919","45b80ec0b5893f07a6d0170851f87d0904617d34f3321a0f1aab0d8807b61be7","02_Software_Architecture_and_Patterns\02_Open_Pattern_Catalogs\PoEAA_Catalog.html","https://martinfowler.com/eaaCatalog/","","2026-08-11T19:44:32+08:00"
"02_Software_Architecture_and_Patterns\02_Open_Pattern_Catalogs","OPEN_CATALOG","Enterprise Integration Patterns catalog","HTML","OK","25522","dc85b74166b38c3432f7ef43820ecbd22e4e2ef0d7177fb1748db04b01f2bb90","02_Software_Architecture_and_Patterns\02_Open_Pattern_Catalogs\Enterprise_Integration_Patterns_Catalog.html","https://www.enterpriseintegrationpatterns.com/patterns/messaging","","2026-08-11T19:44:33+08:00"
"02_Software_Architecture_and_Patterns\03_Books_and_Legal_Samples","INDEX_ONLY","Design Patterns - GoF","HTML","OK","121400","aa210ac9bbd0854f38af1adb7fe506bd95ad051ffaf4c5a98c878901ac75a35d","02_Software_Architecture_and_Patterns\03_Books_and_Legal_Samples\Design_Patterns_GoF_Publisher.html","https://www.informit.com/store/design-patterns-elements-of-reusable-object-oriented-software-9780201633610","","2026-08-11T19:44:36+08:00"
"02_Software_Architecture_and_Patterns\03_Books_and_Legal_Samples","INDEX_ONLY","Domain-Driven Design","HTML","OK","146188","ab5a957fdf373c6643ad191991d78cacc483d56f8fceae640e9896e193a6d59c","02_Software_Architecture_and_Patterns\03_Books_and_Legal_Samples\Domain_Driven_Design_Publisher.html","https://www.informit.com/store/domain-driven-design-tackling-complexity-in-the-heart-9780321125217","","2026-08-11T19:44:37+08:00"
"02_Software_Architecture_and_Patterns\03_Books_and_Legal_Samples","SAMPLE","Domain-Driven Design Chapter 1","PDF","OK","270068","a6968f466088ed7a89bdfd3fc287bdbd714c4ee776903c759f49c92e6978742f","02_Software_Architecture_and_Patterns\03_Books_and_Legal_Samples\Domain_Driven_Design_Chapter_1.pdf","https://www.informit.com/content/images/0321125215/samplechapter/evansch01.pdf","","2026-08-11T19:44:39+08:00"
"02_Software_Architecture_and_Patterns\03_Books_and_Legal_Samples","SAMPLE","Domain-Driven Design sample pages","PDF","OK","3539872","f16b153c1e5e0847a7c7edf97971211e7f6d4922f2d2071628493660e5df0c06","02_Software_Architecture_and_Patterns\03_Books_and_Legal_Samples\Domain_Driven_Design_Sample_Pages.pdf","https://www.informit.com/content/images/9780321125217/samplepages/0321125215.pdf","","2026-08-11T19:44:40+08:00"
"03_Database_Design\01_Standard_Indexes","INDEX_ONLY","ISO IEC 9075-1:2023 SQL Framework","HTML","FAILED","0","","","https://www.iso.org/standard/76583.html","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:40+08:00"
"03_Database_Design\01_Standard_Indexes","INDEX_ONLY","ISO IEC 11179-5:2015 Naming principles","HTML","FAILED","0","","","https://www.iso.org/standard/60341.html","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:43+08:00"
"03_Database_Design\01_Standard_Indexes","INDEX_ONLY","ISO IEC 25012:2008 Data quality model","HTML","FAILED","0","","","https://www.iso.org/standard/35736.html","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:44+08:00"
"03_Database_Design\02_Books_and_Legal_Samples","INDEX_ONLY","Database Design for Mere Mortals, 4th Edition","HTML","OK","125265","5276c138c218c76b97f028d7678460117f5f983129c8800d8dd3bbb5190235a5","03_Database_Design\02_Books_and_Legal_Samples\Database_Design_for_Mere_Mortals_4e_Publisher.html","https://www.informit.com/store/database-design-for-mere-mortals-9780136788096","","2026-08-11T19:44:44+08:00"
