sample_id,ground_truth,attack_family,is_unknown,is_encrypted,stratum,labeler,label_timestamp,review_note
alert-cf171f474f1d2987,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-4b4b292eaaf02e61,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-4b374fe628a0a5d3,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-3baf0df169d894dd,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-31357d90523f361a,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-5d95a2d195e56049,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-458072c90a66c983,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-812ab55114275344,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-1304dbba72efe6ba,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-11af9054b6fefa4f,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-ce51577b801005a6,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-cd57f9c19c8c275b,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-e9abd20c23503b8f,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-869ee7a9092cd455,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-294630626ceb94b4,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-e1019698818d3122,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-c046a66e690dc397,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-95d2e9de6c617db4,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-fd8d6069e9dffd68,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-325461f935cb70bb,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-55e76fbe86064e77,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-5f8b4ca5f0d8b0a4,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-42d9339ec7535f56,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-1edfa1af86378304,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-0eb085c53ac70ac1,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-9da443d83f3e6d87,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-2db63474a60c65a3,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-00f32e642b425130,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-f704610a0f1b3647,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-dcc94a9a12b0b88d,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-61f53903cc8de8c6,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-ce38376ab4e457b0,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-b0d2816f78cb2719,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-f3ebc64685780aab,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-c38629dcac392403,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-d7dbe2f77dc77e10,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-27ddf3ff0f8b186c,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-8707ab55af67fce9,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-7086743c012c2b6c,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-7cc4729f362627d3,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-7c4bb629c170fac4,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-8c26afe2d49410d9,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-d5e0f7ecba812475,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-0117c0e32e894e81,,,,,,,,third-party evaluator must fill this before freezing labels.csv
alert-59e1cf4fd719ef59,,,,,,,,third-party evaluator must fill this before freezing labels.csv
